komentar_preprocessing,label,Nomor
flashy pretentious impenetrable morvern thick working class scottish accent,negative,3605
story still seems timely important element heartbreak watching older wiser eye know happen greene story end,positive,3606
pianist fine valedictory work polanski made richer experience making movie somehow richer bargain,positive,3607
father son uneasy bond rarely received sophisticated unsentimental treatment big screen marvelous film,positive,3608
rote drivel aimed mom dad wallet,negative,3609
like sucker good old fashion romance someone shamelessly love eat mostly martha offer perfect ingredient satisfy appetite,positive,3610
fun movie chance affords watch jackson also served executive producer take smooth shrewd powerful act abroad,positive,3611
inept big screen remake avenger wild wild west,negative,3612
partway watching saccharine easter egg colored concoction realize made three episode rejected tv show,negative,3613
director paul cox unorthodox abstract approach visualizing nijinsky diary stimulating demanding,positive,3614
bad kramer make guest appearance liven thing,negative,3615
kind entertainment parent love kid see,positive,3616
obvious je gyu trying poetry get instead lyricism limerick scrawled public restroom,negative,3617
undeniably gorgeous terminally smitten document troubadour acolyte triumph band,positive,3618
one plain unimaginative romantic comedy ever seen,negative,3619
poignant familiar story young person suspended two culture,positive,3620
strong first quarter slightly le second quarter average second half,negative,3621
le cinematically powerful quietly deeply moving powerful,positive,3622
enjoyable undercover brother zany mix saturday night live style parody blaxploitation film goofball action comedy gone wild dish ton laugh everyone enjoy,positive,3623
roman coppola may never become filmmaker dad heck filmmaker based cq certainly keeping eye next project,positive,3624
mana give u compelling damaged character want help hurt,positive,3625
average science fiction film,negative,3626
unbelievably fun film leading man away perfection,positive,3627
movie like tasty hors oeuvre one feast,positive,3628
might readily dismissed tiresome rant aging filmmaker still thumbing nose convention take surprising subtle turn midway point,positive,3629
densest distillation robert movie ever made,negative,3630
mature deeply felt fantasy director travel year russian history,positive,3631
lack punch verve needed make genre soar,negative,3632
get root psychology film would require many session couch dr freud,positive,3633
live action cartoon fast moving cheerfully simplistic minute exaggerated action put together preteen boy mind,negative,3634
film never sure make clear point even seek rely ambiguous presentation,negative,3635
warm loving yet unforgivingly inconsistent depiction everyday people relaxed perfect quiet pace proud message loved film,positive,3636
compelling coming age drama arduous journey sensitive young girl series foster home fierce struggle pull free dangerous domineering mother hold,positive,3637
movie slide downhill soon macho action convention assert,negative,3638
look like high school film project completed day due,negative,3639
wonder enough music video rather full length movie,negative,3640
sit crummy wannabe hip crime comedy refers incessantly old movie could rent movie instead let alone seek respectable new one,negative,3641
party scene deliver tawdry kick rest film dudsville,negative,3642
solid piece journalistic work draw picture man political expedience became deadly foreign policy,positive,3643
weighty theme grave youngster story steeped fairy tale childish thing appeal much teenager,negative,3644
vera technical prowess end selling film short smoothes hard truth even uncovers,negative,3645
kind movie quite recommend windup much pitch yet bring dislike,negative,3646
boring meandering,negative,3647
good car chase great fight scene distinctive blend european american asian influence,positive,3648
far enjoyable predecessor,negative,3649
nothing provocative film save way studiously avoids provoking thought,negative,3650
compelling motion picture illustrates american tragedy,positive,3651
take fresh absorbing look figure whose legacy begun bronze,positive,3652
many definition time waster movie must surely one,negative,3653
absurdist spider web,positive,3654
kind sweet sour insider movie film buff eat like much gelati,positive,3655
schmidt nicholson goofy heartfelt mesmerizing king lear,positive,3656
time existential drama without pretension associated term,positive,3657
rarely film graceless devoid merit one come along,negative,3658
image,positive,3659
tends pile many serious issue plate time yet remains fairly light always entertaining smartly written,positive,3660
stale first act scrooge story blatant product placement good comedic song strong finish dumb fart joke,negative,3661
movie worked right final scene caved,positive,3662
stripped approach give film certain timeless quality measured pace lack dramatic inflection also seem tedious,negative,3663
acting fine enough substance sustain interest full minute especially weak payoff,negative,3664
timid bring sense closure ugly chapter twentieth century,negative,3665
spark special anime magic unmistakable hard resist,positive,3666
piquant story need dramatic meat bone,negative,3667
feel formulaic familiar produce transgressive thrill early underground work,negative,3668
welcome see chinese film depict homosexual relationship mature frank fashion lan yu never catch dramatic fire,negative,3669
fascinating experiment play poetic strict reality creating intriguing specie artifice give lady duke something theatrical air,positive,3670
britney delivered big screen safe sound way like year old superstar girl travel fame freeway,positive,3671
superbly photographed staged mendes series riveting set piece like mainstream audience rarely seen,positive,3672
breezy caper movie becomes soulful incisive meditation way way,positive,3673
thing distinguishes randall wallace film fact nothing distinguishing randall wallace film,negative,3674
refreshing real woman curve unforced comedy drama relaxed natural seeming actor,positive,3675
animation competent gag quite funny jonah never shake oppressive morally superior good quality almost automatically accompanies didactic entertainment,negative,3676
perceptive vision nascent industrialized world politics new art form far clunky didactic saddled scene seem simply ill fit movie,negative,3677
beautifully filmed well acted admittedly problematic narrative specific,negative,3678
movie hilarious witty inventive hindsight even dumb,positive,3679
sweetest thing expressly idiot care kind sewage shovel mental gullet simulate sustenance,negative,3680
film enriched imaginatively mixed cast antic spirit headed christopher plummer subtlest complexly evil uncle ralph ever seen many film stage adaptation work,positive,3681
well written nicely acted beautifully shot scored film work several level openly questioning social more ensnaring audience emotional pull,positive,3682
never fails engage u,positive,3683
kind trifle date night invented,positive,3684
many improbability rose colored situation temper could impacting film,negative,3685
mystery unravels character respond hitting,negative,3686
woo resonant film since killer,positive,3687
way seeping consciousness lingering question film really getting,positive,3688
bad premise execution lackluster best,negative,3689
help director cinematographer stephen kazmierski shoot grungy video giving whole thing dirty tasteless feel,negative,3690
one experience mr haneke sadistic tendency toward audience one left sour taste one mouth little else,negative,3691
candid camera methamphetamine,positive,3692
soderbergh seems capable delivering artfully lighted earnest inquiry lack kind genuine depth would make redeemable,negative,3693
get bogged hit miss topical humour getting truly good stuff,negative,3694
even predictable cliche ridden endeavor predecessor,negative,3695
bring sequel,positive,3696
one rare film come flawless amount acting direction story pace,positive,3697
setup air leak movie flattening momentum hour go,negative,3698
could neat little story believing swamped heavy handed melodrama,negative,3699
like invited classy dinner soiree knowing anyone leave way came tasty morsel belt new friend,negative,3700
muddled trashy incompetent,negative,3701
occasionally course reviewing art house obscurity slam bam action flick jaded critic smack something truly new,positive,3702
blood work laughable solemnity try pump life overworked element eastwood dirty harry period,negative,3703
nothing detract affection moral favorite friend friend thick thin,positive,3704
lack thesis make maryam end play intellectual emotional impact school special,negative,3705
consistently funny austin power film,positive,3706
national lampoon van wilder may aim next animal house closely resembles year version tomcat,negative,3707
feel like nothing quite much middle aged moviemaker attempt surround beautiful half naked woman,negative,3708
movie lumbering load hokum least watchable,negative,3709
ja rule kurupt gotten rap would benefitted dialogue,negative,3710
soderbergh tends place psychological philosophical material italic rather trust audience intelligence creates overall sense brusqueness,negative,3711
screenplay sabotage movie strength almost every juncture character stereotype interaction numbingly predictable,negative,3712
delivers chill sustained unease flounder quest deeper meaning,negative,3713
people want ol ball chain want ball chain,positive,3714
mildly amusing,negative,3715
chicago pode ser um filme divertido e cativante como ma acaba representando um passo que vai na dire contr ria evolu do musicais,positive,3716
whimsical predictable time travel fable marred willful single mindedness,negative,3717
pleasant forgettable romp film,positive,3718
neither funniest film eddie murphy robert de niro ever made showtime nevertheless efficiently amusing good collapse exactly kind buddy cop comedy set lampoon anyway,positive,3719
whole thing fairly lame making par course disney sequel,negative,3720
mindless action flick twist far better suited video viewing multiplex,negative,3721
friday worth waiting,negative,3722
one minute think watching serious actioner next though clip pink panther strike sailor moon spliced,negative,3723
consummate actor barry done excellent work,positive,3724
cuaron repeatedly perversely undercut joie de vivre even creates giving movie mournful undercurrent place good time shenanigan welcome perspective,positive,3725
devolves derivative leaning badly rendered cgi effect,negative,3726
really pan american movie moment genuine insight urban heart,positive,3727
simple innocent movie imagine movie trust,positive,3728
animation merely serf predictable maudlin story swipe heavily bambi lion king yet lack emotional resonance either movie,negative,3729
instead using george lucy obvious difference ignite spark lawrence desperately look elsewhere seizing george haplessness lucy personality tic,negative,3730
problem derivative plenty funny movie recycle old trope problem van wilder little actually funny material,negative,3731
sam self flagellation depressing entertaining,negative,3732
script manages rare trick seeming refreshingly different reassuringly familiar,positive,3733
despite slick production value director roger michell tick tock pacing final effect like two guy yelling face two hour,negative,3734
weird rewarding,positive,3735
mastering formidable arithmetic camera soul group articulates flood emotion,positive,3736
writer director juan carlos fresnadillo make feature debut fully formed remarkably assured,positive,3737
u audience may find attal gainsbourg unfamiliar persona give film intimate quaint reality little closer human nature hollywood typically concocts,positive,3738
one honest film ever made hollywood,positive,3739
draggin dragon,negative,3740
minute postmodern voyage diverting thought provoking expected,positive,3741
chateau le concerned cultural political issue doting eccentric character,negative,3742
like roger quickly recognize big part go movie,positive,3743
concoction bizarre adult mind actually charming triumph intended audience concerned,positive,3744
lovably old school hollywood confection,positive,3745
joke flaky resonant lightweight bizarrely original,positive,3746
fascinating fun film,positive,3747
might tempting regard mr andrew collaborator oddball mr earnhart quizzical charming movie allows u see finally artist,positive,3748
mais um momento inspirado de david fincher,positive,3749
mostly martha could used little trimming minute could cut one would notice pleasurable trifle pain feel credit roll stomach grumbling tasty grub,positive,3750
trying daring original come occasionally satirical never fresh,negative,3751
raimi crafted complicated hero welcome relief usual two dimensional offering,positive,3752
dull somnambulant exercise pretension whose pervasive quiet broken frequent outburst violence noise,negative,3753
wobbly senegalese updating carmen best stunning star turn djeinaba diop gai,negative,3754
true impact day unfolds power movie undeniable,positive,3755
thing could possibly make le interesting already get full montied scrappy jovial team,negative,3756
seeing swept away feel sorry madonna,negative,3757
remarkable film bernard rose,positive,3758
simone fun funky look artificial creation world thrives artificiality,positive,3759
quite achievement set shoot movie cannes film festival yet fail capture visual appeal atmosphere,negative,3760
viewed pure composition form film music,positive,3761
though equally solipsistic tone movie enough vitality justify notion creating screen adaptation evans saga hollywood excess,positive,3762
ultimately engages le story actorly existential despair boundary hopping formal innovation glimpse another kind chinese cultural revolution,positive,3763
often hilarious well shot importantly entertaining hell house fascinating document event seen believed,positive,3764
zinger filled crowd pleaser open minded elvis fan mean fun,positive,3765
going movie little like chewing whale blubber acquired taste take time enjoy worth even take hour get,positive,3766
provides honest look community striving anchor new ground,positive,3767
star trek nemesis meekly go nearly every star trek movie gone wince inducing dialogue thrift shop costume prosthetic makeup silly putty kmart blue light special effect conspire test trekkie loyalty,negative,3768
film look like produced shelved year repackaged audience,negative,3769
doubt delight plympton legion fan others may find minute shenanigan exhausting,negative,3770
universal theme becoming better person love never filmed irresistibly baran,positive,3771
outside burger desire make kind film really unclear project undertaken,negative,3772
examines explosive subject matter nonjudgmentally wiseman previous study inner city high school hospital court welfare center,positive,3773
feel like work artist simply tired fighting fight putting weight world shoulder playing narrative form,negative,3774
beware quirky brit com turn dime oddly humorous tediously sentimental,negative,3775
payne construct hilarious ode middle america middle age unlikely odyssey featuring pathetic endearing hero human,positive,3776
despite anyone belief goal maker show represents spectacular piece theater denying talent creative force behind,positive,3777
murderous maid lot going least brilliant performance testud parmentier,positive,3778
dumb exploitative violence ironically becomes everything rather clumsy original railing,negative,3779
simply enough interest onscreen sustain seventy minute running time,negative,3780
attempt nuance given capable cast drowned director jon purdy sledgehammer sap,negative,3781
cuddly sequel hit little visually polished little funnier little madcap,positive,3782
set pre shooting guideline director came actor turn cleverer better written considerable interest finished film bad sign bad sign,negative,3783
movie play like extended dialogue exercise retard,negative,3784
like day old coke taste fizz,negative,3785
another big dumb action movie vein xxx transporter riddled plot hole big enough titular hero drive sleek black bmw,negative,3786
adorably whimsical comedy deserves passing twinkle,positive,3787
one thing world need le movie college written directed people pas entrance exam,negative,3788
shame storyline underlying theme finally seem impersonal even shallow,negative,3789
testament de niro director michael caton jones movie end accept character film flaw,positive,3790
catch,positive,3791
score point originality wit intelligence cookie cutter movie cut paste job,negative,3792
tsai may ploughing furrow often,negative,3793
something auspicious daring artistic instinct push majority oriented director like steven spielberg follow challenging report liable unnerve majority,positive,3794
clockstoppers one crazy mixed film know want grows,negative,3795
many documentary like presuppose religious bigotry zealous nuttiness antagonist family fundamental display rare gift unflinching impartiality,positive,3796
young gun meet goodfellas easily skippable hayseed v greaseball mob action comedy,negative,3797
master disguise funny ha ha funny dead circus performer funny wrong reason besides,negative,3798
ideal love story intolerant common saccharine genre,positive,3799
surprisingly sincere average little story adorned awesome action photography surfing,positive,3800
compelling story musical passion governmental odds,positive,3801
although tender touching movie would benefited little dramatic tension editing,positive,3802
odd distant portuguese import le borrows bad lieutenant le vampire come kind art house gay porn film,positive,3803
exploitative clumsily staged violence overshadows everything including actor,negative,3804
although melodramatic predictable romantic comedy explores friendship five filipino american frantic effort find love,positive,3805
ferrera charisma young woman know hold screen,positive,3806
open mr reggio theory imagery movie set impart almost visceral sense dislocation change,positive,3807
imamura said warm water red bridge poem enduring strength woman may also best sex comedy environmental pollution ever made,positive,3808
unlike surf movie blue crush thrillingly us modern technology take viewer inside wave end help feel stoked,positive,3809
material slight movie better might think,negative,3810
dreary incoherent self indulgent mess movie bunch pompous windbag drone inanely two hour cacophony pretentious meaningless prattle,negative,3811
morrissette script direction show fair amount intelligence wit signify whole lot either,negative,3812
jacquot filmed opera exactly libretto directs ideally capturing opera drama lyricism,positive,3813
pleasurably jacked piece action moviemaking,positive,3814
brainy artistic muted almost point suffocation,negative,3815
filmmaker want nothing else show u good time cheap b movie way succeed,positive,3816
dreary indulgence,negative,3817
bad movie nowhere near good original,positive,3818
happy seen alternate version ultimate exercise viewing deleted scene,positive,3819
sandra bullock best dramatic performance date almost enough lift thrill kill cat mouser paint number plot,negative,3820
rodriguez chop smart aleck film school brat imagination big kid,positive,3821
cho continues exploration outer limit raunch considerable brio,positive,3822
bright intelligent humanly funny film,positive,3823
borrows many literary cinematic source future world feel absolutely deja vu,negative,3824
funny perilously slight,positive,3825
godard ode tackling life wonderment rambling incoherent manifesto vagueness topical excess praise love remains ponderous pretentious endeavor unfocused tediously exasperating,negative,3826
spied little eye mediocre collection cookie cutter action scene occasionally inspired dialogue bit,negative,3827
realistically terrifying movie put another notch belt long list renegade cop tale,positive,3828
completely loveable underdog movie since bad news bear certainly hard hate,negative,3829
film relationship actual tension christmas tree flocking spray actual snow poor durable imitation,negative,3830
fear dot com frustrating modem disconnect every second,negative,3831
burn never really harness full effect energetic cast,negative,3832
colorful deceptively buoyant suddenly pull rug burkinabe filmmaker dani kouyate reworking folk story whose root go back th century oral tradition also pointed political allegory,positive,3833
interesting psychological game cat mouse three dimensional character believable performance add satisfying crime drama,positive,3834
jeffs created breathtakingly assured stylish work spare dialogue acute expressiveness,positive,3835
auto focus standard hollywood bio pic schrader aim present unflinching look one man downfall brought lack self awareness,positive,3836
despite sincere acting sign another unoriginal run mill sci fi film flimsy ending lot hype,negative,3837
really another genre picture,negative,3838
though certainly original form altar boy requires taste swamp thing type animation doubled deafening score,negative,3839
plot seems bit skinny side panic room interested nothing sucking making sweat,positive,3840
despite hoffman best effort wilson remains silent lumpish cipher encounter reveal nothing,negative,3841
rather real figure elling kjell bjarne become symbolic character whose action supposed relate something na f encounter world,negative,3842
juwanna mann thanks wewannour money back actually,negative,3843
film verbal duel two gifted performer,positive,3844
mistaken identity picture film culture referential final product ghost,negative,3845
jacobi fluent actor given relatively dry material nijinsky writing perform visuals even erotically frank one become dullingly repetitive,negative,3846
get pooper scoopers,negative,3847
oh james th outing show lot stamen vitality get madonna cameo suck,positive,3848
way roundelay partner function interplay within partnership among partnership general air gator bashing consistently delightful,positive,3849
rather like lifetime special pleasant sweet forgettable,positive,3850
contando com uma premissa curiosa filme mergulha espectador em um clima de forte suspense culminando em um desfecho que certamente fica na mem ria,positive,3851
sweetest thing leaf bitter taste,negative,3852
really funny fifteen minute short stretched beyond limit fill almost feature length film,negative,3853
story actually quite vapid,negative,3854
life crock something like,negative,3855
problem really funny,negative,3856
sappy good,negative,3857
new movie bright sheen like ballistic arrive stillborn looking like beaten well worn video box cover seven year future,negative,3858
film darkly funny observation much grueling time consuming illusion work actual work,positive,3859
violent vulgar forgettably entertaining,negative,3860
shyamalan take potentially trite overused concept alien come earth infuses rustic realistic altogether creepy tale hidden invasion,positive,3861
highly irritating first mr koury passive technique eventually begin yield interesting result,positive,3862
fudged opportunity gigantic proportion lunar mission sign life,negative,3863
movie start like heather becomes bring becomes unwatchable,negative,3864
saw enjoyed,positive,3865
crime story love story unusual fit well together neither well told,negative,3866
latest installment pokemon canon pokemon ever surprising le moldy trite last two likely much japanese anime set scenic forest pokemon graze peace,negative,3867
muddled simplistic little pretentious,negative,3868
chuck norris grenade gag occurs time windtalker good indication serious minded film,negative,3869
treat delightful witty improbable romantic comedy zippy jazzy score grant bullock make look though much fun,positive,3870
bond inspired certainly likely decade life classic movie franchise let hope,negative,3871
would jesus film director create movie better,negative,3872
washington strong hand keen eye sweet spirit good taste reflected almost every scene,positive,3873
fly wall method used document rural french school life refreshing departure prevalent technique docu maker visible part work,positive,3874
leave french truly capture terrifying angst modern working man without turning film cheap thriller dumb comedy sappy melodrama,positive,3875
exists occasionally insightful acting exercise,negative,3876
iditarod last day felt like,negative,3877
memorable moment green threw medical equipment window particularly funny serious urge grab old lady end aisle walker toss screen frustration,negative,3878
anchored terrific performance abbass satin rouge show idea woman self actualization know continental divide,positive,3879
rarely high profile talent serve literate material,positive,3880
know something terrible going happen entirely unprepared,positive,3881
mattei underdeveloped effort nothing convenient conveyor belt brooding personality parade coming back stock character camp drowsy drama infatuated pretentious self examination,negative,3882
good movie spurt work important time,negative,3883
story zing way originality humour pathos,positive,3884
morvern rock,positive,3885
sometimes modest little number click sometimes,negative,3886
seems impossible epic four hour indian musical cricket game could good,positive,3887
trapping spy familiar might well watching rerun,negative,3888
literary detective story still detective story aficionado whodunit disappointed,positive,3889
static repetitive muddy blurry hey arnold would seem lock title ugliest movie year,negative,3890
must end world best film far year franchise sequel starring wesley snipe,positive,3891
yes suppose lovely cal work issue dad come term picture perfect life world traveler gave reason care,negative,3892
staggeringly unoriginal term gender bending comedy generally quite funny,positive,3893
much facile technique cute idea little movie,negative,3894
mazel tov film family joyous life acting yiddish stage,positive,3895
sleep inducingly slow paced crime drama clumsy dialogue heavy handed phoney feeling sentiment overly familiar set plot device,negative,3896
thing like murder number end disparate element gel,negative,3897
cartoon truly cinematic scope story compelling heartfelt even heart belongs big four legged herbivore,positive,3898
phone ring voice tell got seven day left live get another phone call warning video back blockbuster midnight going face frightening late fee k really,negative,3899
movie always easy look indeed duty art reflect life leigh created masterful piece artistry right,positive,3900
tone errs shrill side tempered soft southern gentility speaks beauty grace closet full skeleton,positive,3901
memory identity obviation give secret life intermittent unease reaffirming long held illusion indeed reality erasing recasts self,positive,3902
comprehensive provocative film one push boundary biography challenge audience,positive,3903
rubbo humorously tendentious intervention wrote shakespeare controversy,positive,3904
last three narcissist left earth compete others affection,negative,3905
well made thriller certain level intelligence non reactionary morality,positive,3906
somebody bored decided make dull pretentious version jesus son come something like bart freundlich world traveler,negative,3907
mattei tiresomely grave long winded circularity indicated profundity,negative,3908
ambitious moving bleak film,positive,3909
take never ending confusion hatred put human face evokes shame among party even promotes understanding,positive,3910
either willing go claustrophobic concept,positive,3911
film grossly contradictory conveying social message indeed one,negative,3912
remains seen whether statham move beyond crime land action genre say,positive,3913
setup easy border facile keeping film cheap shot mediocrity crack cast,positive,3914
prof servicable world war ii drama totally hide contrivance least call attention problem hollywood long ignored,positive,3915
playful iranian parable openness particularly need people diverse political perspective get along despite ideological difference,positive,3916
movie dragged thought heard mysterious voice felt powerfully drawn toward light light exit sign returned beyond warn movie minute long life short,negative,3917
arguably year silliest incoherent movie,negative,3918
dogtown hollow self indulgent worst boring,negative,3919
collapse meager weight,negative,3920
visual flourish little obvious restrained subtle storytelling fine performance make delicate coming age tale treat,positive,3921
ultimately movie heady child preachy adult,negative,3922
piece fall together without much surprise little moment give boost,positive,3923
turgid little history lesson humourless dull,negative,3924
light yet engrossing piece lux eighty great combination act narrator jewish grandmother subject taking u film part biography part entertainment part history,positive,3925
surreal gilliam esque film also troubling interpretation ecclesiastes rewarding work art patient challenge hungry moviegoer,positive,3926
schnieder bounce around limp wrist wearing tight tummy top hip hugger twirling hair finger assuming enough sustain laugh,negative,3927
clever caper movie twist worthy david mamet enormous fun thinking audience,positive,3928
enough may pander basest desire payback unlike many revenge fantasy ultimately delivers,positive,3929
extraordinary film least japanese yet feel universal,positive,3930
campanella get tone right funny middle sad middle hopeful,positive,3931
tasteful rock roll movie could put coffee table anywhere,negative,3932
deliberately devotedly constructed far heaven picture postcard perfect neat new pin like obviously recreation resonate,negative,3933
enriched strong unforced supporting cast,positive,3934
camera whirl camera twirl oh look clever angle wow jump cut,negative,3935
nelson movie morally compromised figure leaf viewer feeling compromised unable find way fog ash,negative,3936
like every bad idea ever gone school special compiled one place minus daytime program slickness sophistication knew even,negative,3937
nicole holofcener lovely amazing screenplay jump head class woman film manage avoid ghetto sentimental chick flick treating female folly satirical style,positive,3938
mocking kung fu picture staple exploitation theater programming witty mocking exercise pointlessness,negative,3939
particularly good film neither monsterous one,negative,3940
engages u constant fit laughter find surprised much care story end walking satisfied also somewhat touched,positive,3941
snow dog find humour black man getting humiliated pack dog smarter,negative,3942
film explosion death spy ballistic eck v sever seems safe child film well mother deer even dy,negative,3943
troubling thing clockstoppers make sense,negative,3944
film idea wry comic mayhem,positive,3945
story also unoriginal come already recycled time care count,negative,3946
corpse count ultimately override little learn along way vicarious redemption,negative,3947
though book run page densely packed even ambitious adaptation elaborate production like mr schepisi seems skimpy unclear,negative,3948
generic set b grade special effect jason convincing sci fi front tv defunct cleopatra,negative,3949
sentimental cliche mar otherwise excellent film powerful performance mel gibson brutal minute battle sequence everything issue dog tag,positive,3950
seems content dog paddle mediocre end pool sad sick sight,negative,3951
take clunky tv movie approach detailing chapter life celebrated irish playwright poet drinker,negative,3952
actually sincere crime movie equivalent chick flick,negative,3953
film loses sight story,negative,3954
bow best moment getting busy basketball court really score,positive,3955
working class u v opera leaf heartstring untugged liberal cause unplundered,negative,3956
although occasionally static point resembling stage play film delivers solid mixture sweetness laugh,positive,3957
must audience enjoys friday series interested knowing personally,negative,3958
ever entertained notion title film implies sex stranger actually show may put idea forever,negative,3959
play like unbalanced mixture graphic combat footage almost saccharine domestic interlude pure hollywood,negative,3960
although shot little style skin heartfelt achingly real,positive,3961
film faithful one presumes book twin premise become back parent idea age time fleeting precious commodity matter old,positive,3962
interesting fun see goodall chimpanzee bigger life screen,positive,3963
two bit potboiler,negative,3964
anyone grew disney treasure island remembers victor fleming classic one feel like impostor,negative,3965
movie riveting power sadness,positive,3966
topic could make sailor blush lot laugh,positive,3967
orange juice far fresh squeezed,positive,3968
one exception every blighter particular south london housing project dig dysfunction like big comforting jar marmite slathered cracker served feast bleakness,positive,3969
rare bird enough charm make memorable,positive,3970
sound like cruel deception carried men marginal intelligence reactionary idea woman total lack empathy,negative,3971
greengrass working mullan script forgoes larger socio political picture situation northern ireland favour approach throw one pulsating thick truly frightening situation,positive,3972
john carlen script full unhappy two dimensional character anything compelling,negative,3973
hard understand anyone right mind would even think make attraction movie harder still believe anyone right mind would want see,negative,3974
script le spice rat burger rock fighting skill line steven seagal,negative,3975
feardotcom making interesting meditation ethereal nature internet otherworldly energy could channel simply becomes routine shocker,negative,3976
played straight faced fashion little humor lighten thing heavy handed film almost laughable consequence,negative,3977
farcical element seemed pat familiar hold interest yet diverting grim message good one,positive,3978
choppy overlong documentary lifestyle,negative,3979
poignant lyricism run balzac little chinese seamstress transforms story love culture cinematic poem,positive,3980
nice piece work,positive,3981
moore better fingering problem finding solution though scratch surface least provides strong itch explore,positive,3982
match neorealism impact showing humanity war torn land filled people want live life,positive,3983
patience great reward,positive,3984
collateral damage might imagine every aggrieved father clich unturned,negative,3985
dazzling thing behold long wearing somewhat cumbersome goggles theater provides,positive,3986
suffocated conception munchausen proxy mum punish vehicle adore star,negative,3987
kilted jackson unsettling sight indicative kilter character ramble aimlessly ill conceived action piece,negative,3988
art house core read lip genre curling crime story revives free wheeling noir spirit old french cinema,positive,3989
high spirited buddy movie reunion berlin anarchist face arrest year crime,positive,3990
evokes little fear parent possible future child sometimes bad choice mother father make interest good,positive,3991
gentle melding drama comedy make time something true film buff enjoy,positive,3992
never lilo stitch reach emotion timelessness disney great past even recent success mulan tarzan,negative,3993
lilo stitch edgy piece disney animation hit silver screen first film use watercolor background since dumbo certainly rank original year,positive,3994
vividly demonstrates director hollywood blockbuster patriot game still turn small personal film emotional wallop,positive,3995
director brett morgen nanette burstein put together bold biographical fantasia,positive,3996
ejemplo de una cinta en que importa el talento de su reparto lo interesante que pudo haber resultado su premisa pues el resultado e francamente aburrido por momentos deplorable,negative,3997
gibney jarecki want string bastard,negative,3998
well executed spy thriller,positive,3999
powerful telling story examines forbidden love racial tension issue valid today,positive,4000
path ice age follows closely though one established warner bros giant chuck jones died matter week movie release,positive,4001
narc bull throwback action film zip along b movie verve adding rich detail go broke acting herald something special,positive,4002
come long laborious whine bellyaching paranoid unlikable man,negative,4003
kind inspired overblown enterprise give hollywood sequel bad name,negative,4004
zigzag might richer observant le densely plotted,negative,4005
offer new insight matter character exactly spring life,negative,4006
granddad le nouvelle vague jean luc godard continues baffle faithful game hide seek,negative,4007
masterpiece,positive,4008
formula dulled sens faster deeper recreational drug market,negative,4009
guzm n frustratingly refuse give pinochet crime political context distance material mostly admirable,positive,4010
sandra nettelbeck beautifully orchestrates transformation chilly neurotic self absorbed martha heart begin open,positive,4011
sorvino delightful central role nearly glow enthusiasm sensuality conniving wit,positive,4012
bored cage spent duration film shooting schedule waiting scream got aid yet,negative,4013
rare window artistic collaboration,positive,4014
terrible,negative,4015
stylish beautifully photographed far trouble worth fantasy mixing reality actor playing one role add confusion,negative,4016
ever wondered ending without input studio executive test audience would look like,positive,4017
welles unhappy prospect human race splitting two probably crazy great grandson movie splitting pretty much way,negative,4018
feel strangely hollow emotional core,negative,4019
question determine well schmaltz manufactured ass quality manipulative engineering average best afraid,negative,4020
psychological thriller smart script obsessive compulsive attention detail,positive,4021
mike white deft combination serious subject matter dark funny humor make good girl film worth watching,positive,4022
lanie professional success mean must failure life driven ambition know fun,negative,4023
freaky friday,negative,4024
andy garcia enjoys one richest role year mick jagger give best movie performance since well performance,positive,4025
george lucas return visionary tale full nuance character dimension,positive,4026
film tedious impossible care whether boast true,negative,4027
appeal vulgar sexist racist humour went head considering low brow perhaps snuck foot,negative,4028
many film simultaneously funny offbeat heartwarming without thick shmear goo least elling manages three quite well making one year enjoyable release,positive,4029
beyond handful mildly amusing line much laugh,negative,4030
say vapid vehicle downright doltish uneventful obvious telling country skunk severe body odor,negative,4031
though film clumsy ambition equally admirably uncommercial,positive,4032
made feel unclean guy liked something mary american pie movie oh booty call,negative,4033
love masochism binoche make interesting trying find,positive,4034
overly melodramatic somewhat insightful french coming age film,positive,4035
solid unassuming drama,positive,4036
diggs lathan among chief reason brown sugar sweet sexy film,positive,4037
dong make valiant effort understand everyone point view good job family fundamental get riled,positive,4038
compleja e intelectualmente retadora el ladr n de orqu dea e uno de esos filmes que vale la pena ver precisamente por su originalidad,positive,4039
ambitious guilt suffused melodrama crippled poor casting,negative,4040
kind movie leaf vague impression nasty aftertaste little clear memory operational mechanic,negative,4041
energetic violent movie momentum never let,positive,4042
deceptively simple premise deeply moving french drama develops startling story work detailed personal portrait rather frightening examination modern time,positive,4043
saccharine disposable,negative,4044
viewer ring likely remember haunting image plot hole,positive,4045
passion lip synching tragedy lot really really high note opera favorite long time fat lady sings,negative,4046
master disguise fall category sketch saturday night live,negative,4047
mordantly funny intimately knowing,positive,4048
shyamalan turn goose pimple genre empty head fill spirit purpose emotionally bruised character add body count,positive,4049
film busy hitting assigned mark take life,negative,4050
another best year selection,positive,4051
wang xiaoshuai directs intricately structured well realized drama present fascinating glimpse urban life class warfare embroils two young men,positive,4052
caruso sometimes descends sub tarantino cuteness part make sure salton sea work way good noir keeping tight nasty,positive,4053
journey spanning nearly three decade bittersweet camaraderie history feel truly know make holly marina tick heart go continue negotiate imperfect love hate relationship,positive,4054
movie almost completely lacking suspense surprise consistent emotional conviction,negative,4055
one energetic surprise original plea almost everyone see,positive,4056
